region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
19120,Pennsylvania,40.0527086,40.0124032,-75.0969875,-75.1387471,40.03439829,-75.12088724,997.9,6086,89.83364997,31.39217001,7557,16061,12854,10272,216962,12,263706,3,65926.5,1950522.666,5073438.265,3776295.319,2820022.264,64645035.35,3572.812305,78265313.86,"[[0,4877],[5,722],[10,107],[15,67],[20,40],[25,37],[30,34],[35,18],[40,14],[45,11],[50,11],[55,8],[60,7],[65,9],[70,9],[75,5],[80,5],[85,6],[90,4],[95,5],[100,7],[105,3],[110,4],[115,1],[120,5],[125,5],[130,2],[135,1],[140,2],[145,3],[150,2],[155,3],[160,3],[165,1],[175,2],[180,3],[185,1],[190,1],[195,2],[200,1],[220,1],[230,1],[235,1],[240,3],[255,2],[265,1],[295,1],[300,2],[315,1],[320,2],[345,1],[350,1],[365,1],[385,1],[410,1],[415,1],[435,1],[445,1],[755,1],[810,1],[815,1],[820,1],[865,1],[960,1],[1110,1],[1140,1],[1180,1],[1230,1],[1300,1],[1345,1],[1995,1],[2220,1],[4045,1]]",49734.52577,2,POINT(-75.120887243506 40.0343982932811)
19132,Pennsylvania,40.0058933,39.9863578,-75.1506389,-75.1906974,39.99568149,-75.16964516,997.9,5157,88.18197464,33.55019192,4664,13486,9191,8378,174776,12,210495,3,52623.75,1198443.503,4355742.145,2644355.206,2354783.737,51760215.24,3379.915637,62313539.84,"[[0,4250],[5,463],[10,78],[15,68],[20,37],[25,24],[30,22],[35,23],[40,18],[45,16],[50,12],[55,9],[60,14],[65,6],[70,7],[75,5],[80,4],[85,6],[90,7],[100,7],[105,2],[110,2],[115,2],[120,5],[125,3],[130,1],[135,3],[140,2],[150,2],[155,1],[160,3],[165,3],[170,2],[180,3],[185,1],[195,4],[200,1],[215,2],[235,1],[245,1],[250,1],[255,2],[260,1],[270,1],[285,3],[305,1],[315,1],[325,1],[355,1],[360,1],[375,2],[390,1],[400,1],[445,2],[450,2],[460,1],[470,1],[475,1],[480,1],[510,2],[525,1],[610,1],[680,1],[730,1],[790,1],[840,1],[845,1],[890,1],[1080,1],[1465,1]]",39597.80138,0,POINT(-75.169645159245 39.9956814907579)
19134,Pennsylvania,40.0073335,39.977417,-75.0872131,-75.1310049,39.99245106,-75.11193477,997.9,7551,90.75466915,35.15690474,10910,23038,14457,17419,378488,12,444312,3,111078,2835591.966,7368521.892,3994669.895,5198415.905,113110773.4,3582.464453,132507973,"[[0,5795],[5,831],[10,179],[15,117],[20,87],[25,61],[30,50],[35,35],[40,32],[45,31],[50,27],[55,23],[60,19],[65,19],[70,10],[75,16],[80,11],[85,6],[90,6],[95,12],[100,3],[105,10],[110,7],[115,9],[120,2],[125,6],[130,7],[135,5],[140,8],[145,2],[155,2],[160,3],[165,2],[170,3],[175,2],[180,1],[185,3],[190,3],[195,1],[200,2],[205,1],[210,1],[215,4],[220,6],[225,4],[230,1],[235,5],[240,2],[245,4],[260,1],[270,1],[275,2],[280,2],[285,1],[290,1],[295,3],[300,2],[305,1],[310,1],[315,3],[320,2],[340,2],[360,3],[395,1],[420,1],[430,2],[440,1],[445,3],[455,1],[465,1],[480,1],[490,1],[495,1],[505,1],[520,1],[545,1],[565,1],[570,1],[585,1],[600,1],[615,2],[635,1],[670,1],[675,2],[685,1],[700,1],[710,1],[720,1],[730,1],[740,1],[745,1],[785,1],[825,1],[900,1],[1035,1],[1040,1],[1075,1],[1085,1],[1105,2],[1205,1],[1245,1],[1310,1],[1365,1],[1450,1],[1705,1],[1880,1],[2300,1]]",84203.60023,3,POINT(-75.1119347717865 39.9924510629131)
19138,Pennsylvania,40.0714515,40.0399482,-75.1470133,-75.176449,40.05662677,-75.15694928,997.9,4256,93.05634604,37.18654434,2417,6650,5865,2916,100013,12,117861,3,29465.25,632613.0409,2038110.63,1696291.307,820237.526,29609031.54,3545.397314,34796284.04,"[[0,3505],[5,529],[10,57],[15,29],[20,12],[25,16],[30,7],[35,8],[40,7],[45,10],[50,7],[55,7],[60,4],[65,5],[70,4],[75,3],[80,4],[85,3],[90,5],[95,4],[115,4],[125,2],[130,2],[140,1],[150,1],[165,1],[170,1],[185,1],[195,1],[210,1],[235,1],[240,1],[255,1],[265,1],[275,1],[285,1],[335,1],[355,1],[400,1],[485,1],[505,1],[630,1],[715,1],[780,1],[1445,1]]",22111.66863,3,POINT(-75.1569492782584 40.0566267715424)
19143,Pennsylvania,39.9571247,39.9246171,-75.2057367,-75.250595,39.94513225,-75.22936063,997.9,7093,86.73195323,33.79228204,5838,15829,11636,12887,189106,12,235296,3,58824,1495558.437,4986578.485,3342262.007,3702613.689,56323861.76,3655.395532,69850874.38,"[[0,5598],[5,972],[10,126],[15,66],[20,38],[25,46],[30,27],[35,31],[40,22],[45,12],[50,15],[55,13],[60,4],[65,10],[70,9],[75,6],[80,5],[85,3],[90,8],[95,6],[100,6],[105,6],[110,3],[115,1],[120,3],[125,4],[130,2],[135,4],[140,2],[150,1],[165,2],[170,1],[175,3],[180,1],[185,1],[200,1],[210,2],[215,1],[225,1],[230,1],[250,1],[260,1],[270,1],[275,1],[285,3],[290,1],[295,1],[310,1],[325,2],[335,1],[340,2],[350,2],[480,1],[495,1],[505,1],[510,1],[560,1],[635,1],[690,1],[700,1],[830,1],[910,1],[1035,1],[1145,1],[2275,1]]",44387.48075,10,POINT(-75.2293606269741 39.945132247936)
19148,Pennsylvania,39.9305622,39.8950972,-75.1326697,-75.1733712,39.92123205,-75.15945917,997.9,7885,91.99288256,41.22013696,4987,6927,8856,5896,474229,12,500895,3,125223.75,1204214.771,2232375.37,2446104.344,1657986.608,142350508.5,3568.863623,149891189.6,"[[0,6679],[5,727],[10,91],[15,40],[20,48],[25,30],[30,24],[35,27],[40,6],[45,13],[50,11],[55,11],[60,4],[65,12],[70,4],[75,3],[80,3],[85,3],[90,4],[95,3],[100,5],[105,5],[110,1],[115,1],[120,3],[125,5],[130,3],[135,4],[145,2],[150,2],[155,2],[160,1],[165,1],[170,3],[175,3],[180,1],[185,1],[190,1],[195,3],[210,1],[215,2],[220,1],[225,1],[230,1],[235,2],[240,1],[245,1],[260,1],[270,2],[285,3],[300,3],[310,1],[320,1],[335,1],[355,2],[360,3],[380,1],[410,1],[420,2],[425,2],[450,2],[475,2],[485,1],[495,1],[515,1],[525,1],[530,2],[590,3],[600,1],[630,1],[670,1],[675,1],[680,1],[690,1],[695,1],[720,1],[745,2],[760,1],[790,1],[800,1],[845,1],[875,1],[880,1],[885,1],[895,1],[955,1],[970,1],[1005,1],[1020,1],[1100,1],[1105,1],[1160,1],[1260,1],[1315,1],[1345,1],[1375,1],[1400,1],[1415,1],[1470,1],[1475,1],[1510,1],[1550,1],[1620,1],[1775,1],[1785,1],[1865,1],[1915,1],[2040,1],[2075,1],[2180,1],[2225,1],[2530,1],[2600,1],[2895,1],[3025,1],[3760,1]]",95249.94998,2,POINT(-75.1594591687506 39.9212320504809)
28168,North Carolina,35.6343531,35.473563,-81.3195268,-81.5261602,35.54931619,-81.42247643,1085.45,6,0.1039346696,85.71428571,12,73,0,44,0,12,129,3,32.25,3515.053394,21963.85059,0,14301.09893,0,3323.55686,39780.00291,"[[0,4],[5,1],[10,1]]",23.35271132,0,POINT(-81.4224764338678 35.5493161906459)
19131,Pennsylvania,40.0084497,39.9668965,-75.1935926,-75.2497519,39.98105607,-75.22950507,997.9,4590,90.83791312,38.04077573,5125,19608,9951,11050,205718,13,251452,3.25,62863,1324768.123,6047986.193,2820370.828,3057430.975,60962091.77,3878.035974,74212647.89,"[[0,3378],[5,690],[10,128],[15,48],[20,52],[25,31],[30,19],[35,23],[40,22],[45,18],[50,12],[55,14],[60,8],[65,7],[70,12],[75,4],[80,9],[85,9],[90,3],[95,2],[100,9],[105,3],[110,5],[115,2],[120,4],[125,2],[130,2],[135,1],[140,1],[145,1],[155,2],[160,1],[170,2],[175,1],[190,2],[195,1],[200,2],[205,1],[210,1],[215,3],[220,4],[230,1],[235,2],[240,3],[255,1],[260,1],[265,2],[275,1],[280,2],[285,2],[300,1],[310,3],[315,2],[325,1],[330,5],[340,1],[375,1],[430,1],[435,1],[450,1],[455,2],[475,1],[490,1],[505,1],[520,1],[535,1],[565,1],[570,1],[575,1],[600,1],[795,1],[1080,2],[1380,1],[1705,1],[1855,1],[1915,1],[2415,1]]",47159.21609,6,POINT(-75.2295050683128 39.9810560741926)
19133,Pennsylvania,40.0018637,39.9834374,-75.1290836,-75.1545495,39.99289997,-75.14147293,997.9,3545,87.51820262,42.13216068,2822,7157,7611,6045,115154,13,138789,3.25,34697.25,739307.89,2280922.942,2196609.673,1664932.25,34231920.54,3890.130939,41113693.29,"[[0,2607],[5,487],[10,133],[15,72],[20,38],[25,27],[30,29],[35,12],[40,10],[45,12],[50,12],[55,10],[60,6],[65,9],[70,2],[75,7],[80,2],[85,4],[90,4],[95,4],[100,3],[105,4],[110,6],[115,3],[120,1],[125,2],[130,6],[135,1],[140,2],[145,1],[165,2],[170,2],[185,1],[195,1],[205,1],[220,2],[245,1],[250,1],[255,1],[265,2],[270,1],[285,1],[290,1],[310,1],[315,1],[345,2],[355,2],[405,1],[430,1],[470,1],[540,1],[665,1],[920,1]]",26126.1335,2,POINT(-75.1414729323903 39.9928999673705)
19139,Pennsylvania,39.9692751,39.9520303,-75.2112471,-75.2509368,39.9618306,-75.23138126,997.9,4874,88.45295056,35.15326361,3302,9373,9103,8933,139801,13,170512,3.25,42628,830190.5592,3012762.378,2609461.683,2508770.047,41525908.44,3883.126221,50487093.11,"[[0,3659],[5,731],[10,139],[15,59],[20,46],[25,38],[30,18],[35,18],[40,17],[45,19],[50,9],[55,9],[60,9],[65,4],[70,13],[75,2],[80,4],[85,9],[90,7],[95,3],[100,6],[105,3],[110,2],[115,5],[120,4],[125,2],[130,4],[140,3],[180,1],[185,3],[190,1],[200,1],[210,2],[215,1],[220,2],[225,3],[230,1],[245,1],[250,1],[255,1],[290,1],[305,1],[335,1],[380,2],[390,1],[395,1],[440,1],[550,1],[580,1],[585,1],[660,1],[665,1],[1175,1]]",32082.56007,2,POINT(-75.2313812556428 39.9618306046826)
19140,Pennsylvania,40.0336621,39.9986957,-75.124551,-75.1704073,40.01202752,-75.14534018,997.9,6871,88.0425155,38.40263805,9344,17657,12822,14970,295650,13,350443,3.25,87610.75,2429334.653,5636529.814,3659940.738,4281646.313,88002443.13,3771.787219,104009894.7,"[[0,5115],[5,948],[10,151],[15,106],[20,69],[25,48],[30,48],[35,34],[40,33],[45,19],[50,17],[55,24],[60,22],[65,15],[70,14],[75,11],[80,11],[85,8],[90,7],[95,5],[100,12],[105,8],[110,5],[115,6],[120,5],[125,7],[130,5],[135,10],[140,3],[145,4],[150,3],[155,6],[160,4],[165,6],[170,5],[175,6],[180,1],[185,2],[190,3],[195,1],[200,3],[210,3],[215,1],[220,1],[225,2],[250,2],[255,2],[260,1],[265,1],[270,3],[280,2],[285,1],[300,1],[305,1],[310,1],[315,1],[320,1],[325,1],[330,2],[335,1],[345,2],[350,1],[365,1],[370,2],[410,1],[425,1],[450,1],[455,1],[460,1],[465,1],[470,1],[495,1],[515,1],[530,1],[555,1],[585,1],[720,1],[745,1],[785,1],[815,1],[870,1],[880,1],[935,2],[940,1],[1025,1],[1055,1],[1240,1],[1275,1],[1360,1],[1715,1]]",66094.19334,2,POINT(-75.1453401809762 40.0120275248991)
19141,Pennsylvania,40.0514999,40.0241069,-75.134973,-75.1564306,40.03739128,-75.1455248,997.9,3528,92.89723441,38.75645392,1408,7152,5593,3754,120838,13,138745,3.25,34686.25,368234.1523,2223790.54,1602453.421,1031870.454,35671096.35,3693.745972,40897444.92,"[[0,2742],[5,467],[10,76],[15,39],[20,22],[25,18],[30,13],[35,13],[40,10],[45,7],[50,7],[55,8],[60,7],[65,8],[70,3],[75,7],[80,7],[85,5],[90,4],[95,2],[100,1],[105,2],[110,6],[115,5],[120,5],[125,2],[135,2],[145,1],[150,2],[155,2],[165,2],[170,1],[180,3],[185,2],[195,1],[200,1],[215,1],[220,1],[225,4],[235,2],[240,1],[255,1],[275,1],[280,1],[300,1],[315,1],[325,1],[330,2],[425,1],[435,1],[615,1],[640,1],[675,1],[710,1],[740,1],[1180,1]]",25988.71618,4,POINT(-75.1455248023983 40.0373912821206)
19142,Pennsylvania,39.9372593,39.9108978,-75.2202161,-75.2465046,39.92257597,-75.23291107,997.9,2701,86.15398921,29.15272531,3007,6550,4879,6486,80086,13,101008,3.25,25252,798687.6934,2059836.373,1346276.016,1989252.038,23904065.34,3727.155371,30098117.46,"[[0,1893],[5,521],[10,64],[15,46],[20,25],[25,25],[30,18],[35,16],[40,9],[45,7],[50,11],[55,5],[60,3],[65,7],[70,1],[75,2],[80,2],[85,5],[95,5],[100,1],[105,1],[110,3],[115,3],[120,3],[125,3],[135,1],[140,1],[145,2],[150,1],[160,3],[165,2],[185,1],[205,1],[220,1],[265,1],[295,1],[300,1],[320,1],[330,1],[355,1],[570,1],[590,1],[1880,1]]",19126.16873,12,POINT(-75.2329110689324 39.9225759656407)
19145,Pennsylvania,39.9373933,39.8854578,-75.1687087,-75.2141304,39.92386024,-75.1796852,997.9,6147,89.70324748,38.36839149,5350,21771,20830,21703,286737,13,356391,3.25,89097.75,1390979.634,7032304.779,6059484.372,6045742.926,86025808.11,3817.907709,106554319.8,"[[0,4553],[5,808],[10,206],[15,112],[20,66],[25,41],[30,37],[35,22],[40,25],[45,20],[50,15],[55,18],[60,9],[65,14],[70,12],[75,8],[80,6],[85,12],[90,7],[95,10],[100,10],[105,8],[110,8],[115,6],[120,5],[125,8],[130,8],[135,4],[140,2],[145,2],[150,3],[155,1],[160,4],[165,4],[170,2],[175,1],[180,1],[185,1],[190,2],[200,1],[205,1],[210,2],[230,2],[235,1],[240,2],[250,3],[255,3],[270,1],[280,3],[295,2],[300,2],[305,3],[330,2],[335,1],[340,1],[350,1],[365,1],[375,1],[400,1],[430,1],[460,1],[475,1],[480,1],[490,1],[505,1],[530,1],[560,1],[585,1],[590,1],[605,1],[625,1],[645,1],[675,2],[705,1],[740,1],[745,1],[810,1],[815,1],[855,1],[905,1],[1125,1],[1205,1],[1230,1],[1260,1],[1385,1],[1505,1],[2235,1],[2280,1],[2370,1],[2815,1]]",67711.07537,11,POINT(-75.179685196411 39.9238602431467)
19146,Pennsylvania,39.947645,39.9307012,-75.1655737,-75.2034629,39.93832888,-75.17972979,997.9,6749,89.92572843,47.64224199,6109,18827,10955,10070,199698,13,245659,3.25,61414.75,1580651.163,6045829.232,3150473.597,2856314.568,59444912.34,3840.102753,73078180.9,"[[0,5123],[5,1043],[10,150],[15,81],[20,38],[25,42],[30,34],[35,23],[40,20],[45,20],[50,11],[55,7],[60,10],[65,7],[70,6],[75,4],[80,8],[85,10],[90,4],[95,8],[100,6],[105,3],[110,5],[115,4],[120,4],[125,5],[130,5],[135,5],[140,3],[145,2],[150,4],[155,5],[160,2],[175,3],[180,2],[185,4],[190,3],[195,1],[200,1],[210,1],[215,1],[225,1],[245,1],[250,1],[255,1],[260,2],[275,2],[305,1],[315,1],[320,1],[335,1],[350,1],[360,1],[365,1],[410,1],[415,1],[440,1],[460,1],[490,1],[500,1],[525,1],[570,1],[665,2],[710,1],[730,1],[820,1],[850,1],[915,1],[1490,1]]",46438.30699,1,POINT(-75.1797297934299 39.9383288848346)
19150,Pennsylvania,40.0843679,40.0593864,-75.1544355,-75.1881214,40.07288844,-75.17012614,997.9,3872,95.34723814,46.53846154,1639,7220,7925,2126,72875,13,91785,3.25,22946.25,424110.739,2188746.339,2377947.618,548449.1216,21624377.36,3983.795502,27163631.18,"[[0,2817],[5,759],[10,170],[15,53],[20,13],[25,7],[30,6],[35,2],[40,5],[45,7],[50,4],[55,2],[65,2],[70,1],[80,1],[85,2],[90,1],[100,7],[145,1],[150,1],[155,1],[165,1],[170,1],[175,1],[180,1],[250,2],[270,1],[495,1],[620,1],[630,1]]",17261.41822,11,POINT(-75.170126141852 40.0728884429979)
19151,Pennsylvania,39.9898328,39.9628376,-75.2361356,-75.2787808,39.97593405,-75.25171156,997.9450022,3518,92.33761534,34.46654257,2130,11329,4646,7039,84558,13,109702,3.25,27425.5,556894.4656,3477609.766,1265082.502,2010974.494,25034675.55,3721.842871,32345236.78,"[[0,2576],[5,564],[10,145],[15,62],[20,30],[25,22],[30,23],[35,4],[40,9],[45,8],[50,4],[55,5],[60,4],[65,7],[70,6],[75,7],[80,1],[85,3],[90,7],[95,4],[100,1],[105,1],[115,1],[120,1],[125,2],[130,2],[135,1],[140,1],[150,1],[170,1],[180,2],[215,1],[220,1],[225,1],[255,1],[260,1],[265,1],[280,1],[315,1],[370,1],[385,1],[485,1],[515,1],[1275,1]]",20554.12459,4,POINT(-75.2517115621042 39.9759340478831)
04411,Maine,44.9416253,44.8333966,-68.5799013,-68.6694652,44.90919577,-68.63168266,964.75,9,4.923076923,56.25,4,83,95,0,0,13,182,3.25,45.5,1022.775885,23031.24089,28113.11914,0,0,3565.737238,52167.13591,"[[0,5],[5,4]]",22.58786394,0,POINT(-68.6316826563077 44.9091957713846)
15361,Pennsylvania,40.3285902,40.3279461,-80.2569503,-80.2584991,40.32826905,-80.25776007,938.4,19,100,100,10,16,56,264,0,14,346,3.5,86.5,2428.933936,4785.084442,14519.7772,70790.05714,0,3846.185669,92523.85272,"[[0,13],[5,6]]",76.59623783,0,POINT(-80.2577600684211 40.3282690473684)
19125,Pennsylvania,39.9913072,39.9651109,-75.1127028,-75.1353151,39.97850581,-75.12595022,997.9,4917,92.10055644,53.04779372,5257,12228,9314,10686,131076,14,168561,3.5,42140.25,1378869.899,3857710.904,2575269.085,3177993.555,39045472.5,3995.208453,50035315.94,"[[0,3592],[5,827],[10,147],[15,72],[20,46],[25,36],[30,28],[35,21],[40,16],[45,15],[50,17],[55,16],[60,3],[65,7],[70,4],[75,5],[80,6],[85,6],[90,3],[95,5],[100,2],[105,4],[110,3],[115,1],[120,1],[125,1],[135,2],[140,2],[165,1],[175,1],[185,2],[195,1],[205,1],[210,1],[215,1],[230,1],[235,1],[255,1],[265,1],[270,2],[280,1],[285,1],[300,1],[325,1],[345,1],[400,1],[435,1],[480,1],[485,1],[495,1],[580,1],[615,1],[860,1],[870,1],[1180,1]]",31795.47347,7,POINT(-75.1259502181042 39.9785058067766)
19135,Pennsylvania,40.0367889,40.0095748,-75.0278695,-75.0747689,40.02521683,-75.05097952,997.9,4824,92.11587524,43.09836505,10071,18910,12487,16272,135202,14,192942,3.5,48235.5,2619310.767,5995185.15,3333731.445,4860045.553,40153254.09,4000.625543,56961527,"[[0,3428],[5,877],[10,136],[15,63],[20,44],[25,43],[30,36],[35,20],[40,16],[45,8],[50,10],[55,14],[60,10],[65,10],[70,6],[75,7],[80,2],[85,11],[90,6],[95,4],[100,2],[105,3],[110,6],[115,3],[120,1],[125,4],[130,4],[135,1],[140,4],[150,2],[155,4],[160,2],[170,1],[175,1],[185,2],[190,2],[195,1],[210,1],[215,3],[235,1],[240,1],[245,2],[250,1],[265,1],[300,1],[305,1],[325,1],[330,2],[340,1],[350,1],[360,2],[410,1],[455,1],[470,1],[515,1],[575,1],[605,1],[645,1],[850,1],[865,1],[1015,1],[1085,1]]",36196.80792,10,POINT(-75.0509795207965 40.0252168295366)
19147,Pennsylvania,39.9693116,39.9070664,-75.1257369,-75.1680133,39.93617082,-75.15587539,997.9,6785,94.41932854,53.25745683,8216,23907,17825,16331,142942,14,209221,3.5,52305.25,2135597.912,7682642.488,5182031.062,4494944.979,42290681,4145.680969,61785897.44,"[[0,4766],[5,1287],[10,268],[15,112],[20,83],[25,35],[30,44],[35,31],[40,25],[45,13],[50,25],[55,10],[60,7],[65,8],[70,1],[75,4],[80,7],[90,2],[95,5],[100,7],[105,3],[110,3],[115,2],[120,4],[130,1],[135,2],[150,3],[155,1],[160,1],[165,1],[185,1],[190,1],[195,1],[215,2],[240,1],[260,1],[275,1],[285,1],[295,2],[300,2],[330,1],[335,1],[350,1],[390,1],[430,1],[470,1],[515,1],[580,1],[740,1],[950,1],[960,1]]",39262.50541,5,POINT(-75.1558753880457 39.9361708177203)
